Language,	English,	French
STR_INTRO_WELCOME,	"Welcome on Combat Assault mission",	"Bienvenue sur Combat Assault"
STR_INTRO_WEBSITE,	"You can find more informations about this project on combat-assault.eu website",	"Vous pouvez trouver plus d'informations sur le site combat-assault.eu"
STR_INTRO_TRAIN,	"Train you in real fighting conditions",	"Entrainez-vous en condition réelle"
STR_INTRO_RANK,	"Try to gain a better server ranking",	"Essayez de monter en rang"
STR_INTRO_WINWAR,	"Try to win this war",	"Essayez de gagner cette guerre"
STR_INTRO_GOODLUCK,		"Good luck ! Have a good game !",	"Bonne chance!"
STR_INTRO_AUTHOR,	"Code34",	"Code34"
STR_INTRO_CAMPAIGNNAME,	"-- Birth of a New Empire --",	"-- Naissance d'un nouvel Empire --"
STR_INTRO_MISSIONNAME,	"COMBAT ASSAULT",	"COMBAT ASSAULT"
STR_INTRO_MISSIONVERSION,	"GOLD",	"GOLD"
STR_INTRO_MISSIONAUTHOR,	"Code34",	"Code34"
STR_INTRO_MISSIONWEBSITE,	"combat-assault.eu",	"combat-assault.eu"
STR_INTRO_MISSIONTS3,	"combat-assault.eu",	"combat-assault.eu"
STR_REDEPLOY_TITLE,	"Redeployment",	"Redeploiement"
STR_REDEPLOY_COUNTER,	"No enemies near your. You will be redeploy in ",	"Pas d'ennemis près de vous. Vous allez être redéployé dans "
STR_REDEPLOY_STANCE,	"No enemies near your. Kneel down to redeploy",	"Pas d'ennemis près de vous. Agenouillez-vous pour être redéployé"
STR_EQUIPMENT_TITLE,	"Select your equipment",	"Choisissez votre équipement"
STR_EQUIPMENT_TEXT,	"Take magazines as items of your vest or bag and go ahead to deployement!",	"Prenez des munitions et placez les dans votre veste ou sac, et déployez vous!"
STR_TELEPORT_TITLE,	"Select your deployement zone",	"Choissisez votre zone de déploiement"
STR_TELEPORT_TEXT,	"Click once on the map near the red square where you'd like to be deploy!",	"Cliquez une fois sur la carte près des zones rouges ou vous voulez être déployé!"
STR_SERVICING_TITLE,	"Vehicle Servicing",	"Service logistique"
STR_SERVICING_NEARAIRPORT,	"You are not enough near of an allied Airport",	"Vous n'êtes pas assez prêt d'un aéroport allié"
STR_SERVICING_TOOENEMY,	"Too much enemy near your position",	"Trop d'ennemis prêt de votre position"